TYPE	NAME	ACQUIRED_VIA	ID
Legs	Travis' Pants 1	collab/shop/RE	PT_SPE_BTM_015
Legs	Violent Grinder Pants	tower drop	PT_DIY_BTM_031
Weapon	Astaroth	final/uncap	PT_ARM_WP003_0H4
Weapon	Backdraft	final/uncap	PT_ARM_WP038_0H4
Weapon	Beam Katana 1	collab/shop/RE	PT_ARM_WP001_0N1
Weapon	Belphegor	final/uncap	PT_ARM_WP013_0H4
Weapon	Bloody Pitching Machine A TDM	collab/shop/RE	PT_ARM_WP028_0A3
Weapon	Bloody Pitching Machine TDM	collab/shop/RE	PT_ARM_WP028_0A1
Weapon	Bowling Crusher A TDM	collab/shop/RE	PT_ARM_WP035_0A4
Weapon	Bowling Crusher TDM	collab/shop/RE	PT_ARM_WP035_0A2
Weapon	Bowling Stomper A TDM	collab/shop/RE	PT_ARM_WP035_0A3
Weapon	Bowling Stomper TDM	collab/shop/RE	PT_ARM_WP035_0A1
Weapon	Brutal Yo-Yo	tower drop	PT_ARM_WP033_001
Weapon	Cleaver Saber A TDM	collab/shop/RE	PT_ARM_WP026_0A3
Weapon	Cleaver Saber TDM	collab/shop/RE	PT_ARM_WP026_0A1
Weapon	Cyclone Shuriken	tower drop	PT_ARM_WP039_001
Weapon	Death Stalker	final/uncap	PT_ARM_WP012_0H4
Weapon	Demon Gun 1	collab/shop/RE	PT_ARM_WP017_0A1
Weapon	Dominion	final/uncap	PT_ARM_WP046_0H4
Weapon	Dragon	final/uncap	PT_ARM_WP044_0H4
Weapon	Drill Arm + TDM	collab/shop/RE	PT_ARM_WP036_0A3
Weapon	Drill Arm TDM	collab/shop/RE	PT_ARM_WP036_0A1
Weapon	Drill Buster + TDM	collab/shop/RE	PT_ARM_WP036_0A4
Weapon	Drill Buster TDM	collab/shop/RE	PT_ARM_WP036_0A2
Weapon	Electro Trigger	final/uncap	PT_ARM_WP006_0H4
Weapon	Emperor	final/uncap	PT_ARM_WP041_0H4
Weapon	Executioner’s Ride A TDM	collab/shop/RE	PT_ARM_WP041_0B4
Weapon	Executioner’s Ride TDM	collab/shop/RE	PT_ARM_WP041_0B2
Weapon	Executioner’s Ride ZX	tower drop	PT_ARM_WP041_0A1
Weapon	Fenrir	final/uncap	PT_ARM_WP001_0H4
Weapon	FFWF-103 Flamethrower E TDM	collab/shop/RE	PT_ARM_WP007_0A3
Weapon	FFWF-103 Flamethrower TDM	collab/shop/RE	PT_ARM_WP007_0A1
Weapon	FFWF-285 Flamethrower E TDM	collab/shop/RE	PT_ARM_WP007_0A4
Weapon	FFWF-285 Flamethrower TDM	collab/shop/RE	PT_ARM_WP007_0A2
Weapon	Ghastly Pitching Machine A TDM	collab/shop/RE	PT_ARM_WP028_0A4
Weapon	Ghastly Pitching Machine TDM	collab/shop/RE	PT_ARM_WP028_0A2
Weapon	GLIDER 1	collab/shop/RE	PT_ARM_WP025_0K1
Weapon	Grim Reaper’s Scythe	tower drop	PT_ARM_WP050_001
Weapon	Grim Reaper’s Scythe	tower drop	PT_ARM_WP050_003
Weapon	Grim Reaper’s Scythe R1	collab/shop/RE	PT_ARM_WP050_0R1
Weapon	Hatatagami	final/uncap	PT_ARM_WP039_0H4
Weapon	Head of Euryale	collab/shop/RE	PT_ARM_WP058_0H1
Weapon	Head of Medusa	collab/shop/RE	PT_ARM_WP058_001
Weapon	Hell Spike Crusher	collab/shop/RE	PT_ARM_WP054_0H1
Weapon	Hornet Saber A TDM	collab/shop/RE	PT_ARM_WP026_0A4
Weapon	Hornet Saber TDM	collab/shop/RE	PT_ARM_WP026_0A2
Weapon	Hunting Bow	tower drop	PT_ARM_WP046_001
Weapon	Iron Hammer RG	tower drop	PT_ARM_WP011_0B1
Weapon	Jackal Blaster	tower drop	PT_ARM_WP053_001
Weapon	Jackal Blaster D	collab/shop/RE	PT_ARM_WP053_002
Weapon	Jackal Sword	tower drop	PT_ARM_WP051_001
Weapon	Jackal Sword D	collab/shop/RE	PT_ARM_WP051_002
Weapon	Jackal Yo-Yo	tower drop	PT_ARM_WP052_001
Weapon	Jackal Yo-Yo D	collab/shop/RE	PT_ARM_WP052_002
Weapon	Judgement Day	final/uncap	PT_ARM_WP043_0H4
Weapon	Jungle Machete E RG	tower drop	PT_ARM_WP001_0B1
Weapon	KAMAS-WoT Assault Rifle01	tower drop	PT_ARM_WP031_0A1
Weapon	King Baboon	final/uncap	PT_ARM_WP037_0H4
Weapon	Lethal Weapon	final/uncap	PT_ARM_WP017_0H4
Weapon	Lightning Wand S TDM	collab/shop/RE	PT_ARM_WP047_0A3
Weapon	Lightning Wand TDM	collab/shop/RE	PT_ARM_WP047_0A1
Weapon	Loaded Glove	tower drop	PT_ARM_WP030_001
Weapon	Longsword RE	collab/shop/RE	PT_ARM_WP060_001
Weapon	M-404 Rocket Launcher E TDM	collab/shop/RE	PT_ARM_WP045_0A3
Weapon	M-404 Rocket Launcher TDM	collab/shop/RE	PT_ARM_WP045_0A1
Weapon	M-844 Rocket Launcher E TDM	collab/shop/RE	PT_ARM_WP045_0A4
Weapon	M-844 Rocket Launcher TDM	collab/shop/RE	PT_ARM_WP045_0A2
Weapon	M2G-87	collab/shop/RE	PT_ARM_WP056_001
Weapon	M2G-87 Mod.1 FireFly	collab/shop/RE	PT_ARM_WP056_0H1
Weapon	Masamune Blade S TDM	collab/shop/RE	PT_ARM_WP061_003
Weapon	Masamune Blade TDM	collab/shop/RE	PT_ARM_WP061_001
Weapon	Mortal Bobslayer	collab/shop/RE	PT_ARM_WP059_001
Weapon	Motor Psycho A TDM	collab/shop/RE	PT_ARM_WP041_0B3
Weapon	Motor Psycho TDM	collab/shop/RE	PT_ARM_WP041_0B1
Weapon	Muramasa Blade S TDM	collab/shop/RE	PT_ARM_WP061_004
Weapon	Muramasa Blade TDM	collab/shop/RE	PT_ARM_WP061_002
Weapon	Muspelheim	final/uncap	PT_ARM_WP004_0H4
Weapon	No Knife 1	collab/shop/RE	PT_ARM_WP002_0N1
Weapon	Nosferatu	final/uncap	PT_ARM_WP002_0H4
Weapon	Ouroboros	final/uncap	PT_ARM_WP024_0H4
Weapon	Pandemic	final/uncap	PT_ARM_WP045_0H4
Weapon	PT_ARM_WP011_0H4	final/uncap	PT_ARM_WP011_0H4
Weapon	PT_ARM_WP019_0H4	final/uncap	PT_ARM_WP019_0H4
Weapon	PT_ARM_WP026_0H4	final/uncap	PT_ARM_WP026_0H4
Weapon	PT_ARM_WP030_0H4	final/uncap	PT_ARM_WP030_0H4
Weapon	PT_ARM_WP031_0H4	final/uncap	PT_ARM_WP031_0H4
Weapon	PT_ARM_WP040_0H4	final/uncap	PT_ARM_WP040_0H4
Weapon	PT_ARM_WP059_0H1	collab/shop/RE	PT_ARM_WP059_0H1
Weapon	Pulse Stun Gun	tower drop	PT_ARM_WP063_001
Weapon	Tactical Shovel	tower drop	PT_ARM_WP038_001
Weapon	Takama-ga-hara	final/uncap	PT_ARM_WP016_0H4
Weapon	Thor’s Wand S TDM	collab/shop/RE	PT_ARM_WP047_0A4
Weapon	Thor’s Wand TDM	collab/shop/RE	PT_ARM_WP047_0A2
Weapon	Timber Rebellion	tower drop	PT_ARM_WP064_001
Weapon	Vajra of God	collab/shop/RE	PT_ARM_WP057_0H1
Weapon	Vajra of Light	collab/shop/RE	PT_ARM_WP057_001
Weapon	Viral Massager	collab/shop/RE	PT_ARM_WP055_0H1
Weapon	Yes Knife 1	collab/shop/RE	PT_ARM_WP002_0Y1
