TYPE	NAME	ID
Body	Captain's Vest	PT_MIL_TOPS_010
Body	Captain's Vest E	PT_MIL_TOPS_110
Body	Captain's Vest E	PT_MIL_TOPS_110_G
Body	Chemical Agent Body +	PT_DIY_TOPS_107
Body	Chemical Chaos Body	PT_DIY_TOPS_008
Body	Chemical Chaos Body +	PT_DIY_TOPS_108
Body	Chemical Chaos Body +	PT_DIY_TOPS_108_G
Body	Clay Figurine Armor RE	PT_REC_TOPS_001
Body	Clay Figurine Armor S	PT_FAN_TOPS_107
Body	Clay Figurine Armor S RE	PT_REC_TOPS_101
Body	Combat Diver Body	PT_MIL_TOPS_017
Body	Combat Diver Body E	PT_MIL_TOPS_117
Body	Cycle Madness Body A	PT_SPO_TOPS_115
Body	Dark Rogue Armor	PT_FAN_TOPS_010
Body	Dark Rogue Armor S	PT_FAN_TOPS_110
Body	Dark Rogue Armor S	PT_FAN_TOPS_110_G
Body	DIY Assault Coat +	PT_DIY_TOPS_102
Body	DIY Assault Coat +	PT_DIY_TOPS_102_G
Body	DIY Assault Coat + EL	PT_SPE_TOPS_110
Body	DIY Assault Coat + EL	PT_SPE_TOPS_110_G
Body	DIY Assault Coat EL	PT_SPE_TOPS_010
Body	DIY Attack Coat + EL	PT_SPE_TOPS_109
Body	DIY Attack Coat EL	PT_SPE_TOPS_009
Body	Driller Killer Body	PT_DIY_TOPS_004
Body	Driller Killer Body +	PT_DIY_TOPS_104
Body	Driller Killer Body +	PT_DIY_TOPS_104_G
Body	Evil Wizard Coat S	PT_FAN_TOPS_113
Body	Execution Rider Body	PT_SPO_TOPS_004
Body	Execution Rider Body A	PT_SPO_TOPS_104
Body	Execution Rider Body A	PT_SPO_TOPS_104_G
Body	Exo-armor Body	PT_MIL_TOPS_031
Body	Exo-armor Body E	PT_MIL_TOPS_131
Body	Exo-combat Body	PT_MIL_TOPS_032
Body	Exo-combat Body E	PT_MIL_TOPS_132
Body	Exo-combat Body E	PT_MIL_TOPS_132_G
Body	Fencing Armor	PT_FAN_TOPS_005
Body	Fencing Armor S	PT_FAN_TOPS_105
Body	Ghost Sniper Body	PT_MIL_TOPS_014
Body	Ghost Sniper Body E	PT_MIL_TOPS_114
Body	Ghost Sniper Body E	PT_MIL_TOPS_114_G
Body	Hades Knight Armor	PT_FAN_TOPS_002
Body	Hades Knight Armor S	PT_FAN_TOPS_102
Body	Hades Knight Armor S	PT_FAN_TOPS_102_G
Body	Happy Wheeler Body +	PT_DIY_TOPS_105
Body	Hard Puncher Body A	PT_SPO_TOPS_111
Body	Hard Target Body	PT_SPO_TOPS_031
Body	Hard Target Body A	PT_SPO_TOPS_131
Body	Hell Napalm Body	PT_MIL_TOPS_022
Body	Hell Slugger Body	PT_SPO_TOPS_010
Body	Hell Slugger Body A	PT_SPO_TOPS_110
Body	Hell Slugger Body A	PT_SPO_TOPS_110_G
Body	Hell Steel Body	PT_DIY_TOPS_022
Body	Hell Thunder Armor	PT_FAN_TOPS_022
Body	Iron Eagle Body E	PT_MIL_TOPS_111
Body	Iron Eagle Body E RE	PT_REC_TOPS_103
Body	Iron Eagle Body RE	PT_REC_TOPS_003
Body	Iron Falcon Body	PT_MIL_TOPS_012
Body	Iron Falcon Body E	PT_MIL_TOPS_112
Body	Iron Falcon Body E	PT_MIL_TOPS_112_G
Body	Iron Falcon Body E RE	PT_REC_TOPS_104
Body	Iron Falcon Body E RE	PT_REC_TOPS_104_G
Body	Iron Falcon Body RE	PT_REC_TOPS_004
Body	Jackal X Body	PT_JAC_TOPS_001
Body	Jackal X Body D	PT_JAC_TOPS_201
Body	Jackal X Body D	PT_JAC_TOPS_201_G
Body	Jackal X Body R	PT_JAC_TOPS_101
Body	Jackal X Body R	PT_JAC_TOPS_101_G
Body	Jackal Y Body	PT_JAC_TOPS_002
Body	Jackal Y Body D	PT_JAC_TOPS_202
Body	Jackal Y Body D	PT_JAC_TOPS_202_G
Body	Jackal Y Body R	PT_JAC_TOPS_102
Body	Jackal Y Body R	PT_JAC_TOPS_102_G
Body	Jackal Z Body	PT_JAC_TOPS_003
Body	Jackal Z Body D	PT_JAC_TOPS_203
Body	Jackal Z Body D	PT_JAC_TOPS_203_G
Body	Jackal Z Body R	PT_JAC_TOPS_103
Body	Jackal Z Body R	PT_JAC_TOPS_103_G
Body	Kat Body 1	PT_SPE_TOPS_003
Body	Kat Body 2	PT_SPE_TOPS_103
Body	Kat Body 3	PT_SPE_TOPS_004
Body	Kat Body 4	PT_SPE_TOPS_104
Body	Kendo Body	PT_SPO_TOPS_007
Body	Kendo Body A	PT_SPO_TOPS_107
Body	Killer Wrestler Body A	PT_SPO_TOPS_105
Body	King Smasher Body	PT_SPO_TOPS_012
Body	King Smasher Body A	PT_SPO_TOPS_112
Body	King Smasher Body A	PT_SPO_TOPS_112_G
Body	Knight's Armor A ZX	PT_FAN_TOPS_1A1
Body	Knight's Armor A ZX	PT_FAN_TOPS_1A1_G
Body	Knight's Armor S	PT_FAN_TOPS_101
Body	Knight's Armor ZX	PT_FAN_TOPS_0A1
Body	Last Paladin’s Armor	PT_FAN_TOPS_016
Body	Last Paladin’s Armor EW	PT_SPE_TOPS_006
Body	Last Paladin’s Armor S	PT_FAN_TOPS_116
Body	Last Paladin’s Armor S	PT_FAN_TOPS_116_G
Body	Last Paladin’s Armor S EW	PT_SPE_TOPS_106
Body	Last Paladin’s Armor S EW	PT_SPE_TOPS_106_G
Body	Lucha Master Body	PT_SPO_TOPS_006
Body	Lucha Master Body A	PT_SPO_TOPS_106
Body	Lucha Master Body A	PT_SPO_TOPS_106_G
Body	Manic Wizard Coat	PT_FAN_TOPS_014
Body	Manic Wizard Coat S	PT_FAN_TOPS_114
Body	Manic Wizard Coat S	PT_FAN_TOPS_114_G
Body	Morbid Target Body	PT_SPO_TOPS_032
Body	Morbid Target Body A	PT_SPO_TOPS_132
Body	Morbid Target Body A	PT_SPO_TOPS_132_G
Body	Motocross Rider Body A	PT_SPO_TOPS_103
Body	Murderer Hockey Body	PT_SPO_TOPS_002
Body	Murderer Hockey Body A	PT_SPO_TOPS_102
Body	Murderer Hockey Body A	PT_SPO_TOPS_102_G
Body	Night Raider Body WoT01	PT_MIL_TOPS_1007
Body	Night Raider Body WoT02	PT_MIL_TOPS_1107
Body	Night Raider Body WoT03	PT_MIL_TOPS_1008
Body	Night Raider Body WoT04	PT_MIL_TOPS_1108
Body	Officer Ryback Body	PT_MIL_TOPS_004
Body	Officer Ryback Body E	PT_MIL_TOPS_104
Body	Officer Ryback Body E	PT_MIL_TOPS_104_G
Body	Paladin Armor EW	PT_SPE_TOPS_005
Body	Paladin Armor S	PT_FAN_TOPS_115
Body	Paladin Armor S EW	PT_SPE_TOPS_105
Body	Pale Wind Body	PT_SPO_TOPS_021
Body	Pale Wind Body	PT_SPO_TOPS_021_G
Body	Phantom Commando Body	PT_MIL_TOPS_006
Body	Phantom Commando Body E	PT_MIL_TOPS_106
Body	Phantom Commando Body E	PT_MIL_TOPS_106_G
Body	Phantom Soldier Body E	PT_MIL_TOPS_105
Body	Phantom Soldier Body WoT01	PT_MIL_TOPS_1005
Body	Phantom Soldier Body WoT02	PT_MIL_TOPS_1105
Body	Phantom Soldier Body WoT03	PT_MIL_TOPS_1006
Body	Phantom Soldier Body WoT04	PT_MIL_TOPS_1106
Body	Power Stomper Body +	PT_DIY_TOPS_115
Body	Priest's Coat S	PT_FAN_TOPS_117
Body	PT_DIY_TOPS_022_G	PT_DIY_TOPS_022_G
Body	PT_FAN_TOPS_022_G	PT_FAN_TOPS_022_G
Body	PT_MIL_TOPS_022_G	PT_MIL_TOPS_022_G
Body	PT_MIL_TOPS_0G2_G	PT_MIL_TOPS_0G2_G
Body	PT_MIL_TOPS_1106_G	PT_MIL_TOPS_1106_G
Body	PT_MIL_TOPS_1108_G	PT_MIL_TOPS_1108_G
Body	PT_SPE_TOPS_021	PT_SPE_TOPS_021
Body	PT_SPE_TOPS_022	PT_SPE_TOPS_022
Body	PT_SPE_TOPS_022_G	PT_SPE_TOPS_022_G
Body	PT_SPE_TOPS_027	PT_SPE_TOPS_027
Body	PT_SPE_TOPS_028	PT_SPE_TOPS_028
Body	PT_SPE_TOPS_028_G	PT_SPE_TOPS_028_G
Body	PT_SPE_TOPS_029	PT_SPE_TOPS_029
Body	PT_SPE_TOPS_030	PT_SPE_TOPS_030
Body	PT_SPE_TOPS_030_G	PT_SPE_TOPS_030_G
Body	PT_SPE_TOPS_104_G	PT_SPE_TOPS_104_G
Body	PT_SPE_TOPS_112_G	PT_SPE_TOPS_112_G
Body	PT_SPE_TOPS_121	PT_SPE_TOPS_121
Body	PT_SPE_TOPS_127	PT_SPE_TOPS_127
Body	PT_SPE_TOPS_129	PT_SPE_TOPS_129
Body	PT_SPO_TOPS_022	PT_SPO_TOPS_022
Body	PT_SPO_TOPS_022_G	PT_SPO_TOPS_022_G
Body	Raging Bull Body	PT_SPO_TOPS_014
Body	Raging Bull Body A	PT_SPO_TOPS_114
Body	Raging Bull Body A	PT_SPO_TOPS_114_G
Body	Raven Blaster Body	PT_MIL_TOPS_020
Body	Raven Blaster Body E	PT_MIL_TOPS_120
Body	Raven Blaster Body E	PT_MIL_TOPS_120_G
Body	Reaper's Coat	PT_SPE_TOPS_001_G
Body	Red Napalm Body	PT_MIL_TOPS_021
Body	Red Napalm Body	PT_MIL_TOPS_021_G
Body	Road Killer Coat	PT_DIY_TOPS_020
Body	Road Killer Coat +	PT_DIY_TOPS_120
Body	Road Killer Coat +	PT_DIY_TOPS_120_G
Body	Sengoku Armor BT	PT_SPE_TOPS_007
Body	Sengoku Armor S	PT_FAN_TOPS_111
Body	Sengoku Armor S BT	PT_SPE_TOPS_107
Body	Shogun Armor	PT_FAN_TOPS_012
Body	Shogun Armor BT	PT_SPE_TOPS_008
Body	Shogun Armor S	PT_FAN_TOPS_112
Body	Shogun Armor S	PT_FAN_TOPS_112_G
Body	Shogun Armor S BT	PT_SPE_TOPS_108
Body	Shogun Armor S BT	PT_SPE_TOPS_108_G
Body	Silent Sniper Body E	PT_MIL_TOPS_113
Body	Skull Punisher Body	PT_MIL_TOPS_016
Body	Skull Punisher Body E	PT_MIL_TOPS_116
Body	Skull Punisher Body E	PT_MIL_TOPS_116_G
Body	Splatter 13 Body A	PT_SPO_TOPS_119
Body	Steel God Apron	PT_DIY_TOPS_012
Body	Steel God Apron +	PT_DIY_TOPS_112
Body	Steel God Apron +	PT_DIY_TOPS_112_G
Body	Steel Madman Body	PT_DIY_TOPS_014
Body	Steel Madman Body +	PT_DIY_TOPS_114
Body	Steel Madman Body +	PT_DIY_TOPS_114_G
Body	Steel Tribe Body +	PT_DIY_TOPS_113
Body	Storm Diver Body	PT_MIL_TOPS_018
Body	Storm Diver Body E	PT_MIL_TOPS_118
Body	Storm Diver Body E	PT_MIL_TOPS_118_G
Body	Suicidal Grinder Body	PT_DIY_TOPS_032
Body	Suicidal Grinder Body +	PT_DIY_TOPS_132
Body	Suicidal Grinder Body +	PT_DIY_TOPS_132_G
Body	Swimming Master Body A	PT_SPO_TOPS_117
Body	Swordmaster Armor	PT_FAN_TOPS_006
Body	Swordmaster Armor S	PT_FAN_TOPS_106
Body	Swordmaster Armor S	PT_FAN_TOPS_106_G
Body	Tank Commander Armor Ver.1	PT_SPE_TOPS_011
Body	Tank Commander Armor Ver.2	PT_SPE_TOPS_111
Body	Tank Commander Armor Ver.3	PT_SPE_TOPS_012
Body	Tank Commander Armor Ver.4	PT_SPE_TOPS_112
Body	Texas Slasher Coat	PT_DIY_TOPS_018
Body	Texas Slasher Coat +	PT_DIY_TOPS_118
Body	Texas Slasher Coat +	PT_DIY_TOPS_118_G
Body	Tour de Hell Body	PT_SPO_TOPS_016
Body	Tour de Hell Body A	PT_SPO_TOPS_116
Body	Tour de Hell Body A	PT_SPO_TOPS_116_G
Body	Travis' Jacket 1	PT_SPE_TOPS_015
Body	Travis' Jacket 2	PT_SPE_TOPS_115
Body	Travis' Jacket 3	PT_SPE_TOPS_016
Body	Travis' Jacket 4	PT_SPE_TOPS_116
Body	Travis' Jacket 4	PT_SPE_TOPS_116_G
Body	Violent Grinder Body	PT_DIY_TOPS_031
Body	Violent Grinder Body +	PT_DIY_TOPS_131
Body	Warrior Armor S	PT_FAN_TOPS_119
Body	Wheel Assassin Body	PT_DIY_TOPS_006
Body	Wheel Assassin Body +	PT_DIY_TOPS_106
Body	Wheel Assassin Body +	PT_DIY_TOPS_106_G
Body	White Steel Body	PT_DIY_TOPS_021
Body	White Steel Body	PT_DIY_TOPS_021_G
Head	4M Gas Mask N	PT_GAS_HEAD_0N1
Head	Agamemnon Mask S	PT_FAN_HEAD_103
Head	Alien Roadster Head	PT_DIY_HEAD_016
Head	Alien Roadster Head +	PT_DIY_HEAD_116
Head	Alien Roadster Head +	PT_DIY_HEAD_116_G
Head	Apocalyptic Hockey Mask A	PT_SPO_HEAD_101
Head	Arahabaki Helmet	PT_FAN_HEAD_008
Head	Arahabaki Helmet RE	PT_REC_HEAD_002
Head	Arahabaki Helmet S	PT_FAN_HEAD_108
Head	Arahabaki Helmet S	PT_FAN_HEAD_108_G
Head	Arahabaki Helmet S RE	PT_REC_HEAD_102
Head	Arahabaki Helmet S RE	PT_REC_HEAD_102_G
Head	Assault Force Head G1	PT_MIL_HEAD_0G1
Head	Assault Force Head G2	PT_MIL_HEAD_1G1
Head	Assault Master Head G	PT_MIL_HEAD_0G2
Head	Avatar of Zard Mask	PT_FAN_HEAD_004
Head	Avatar of Zard Mask S	PT_FAN_HEAD_104
Head	Avatar of Zard Mask S	PT_FAN_HEAD_104_G
Head	Barrett Punisher Head	PT_MIL_HEAD_015
Head	Barrett Punisher Head E	PT_MIL_HEAD_115
Head	Battle Trucker Hat	PT_DIY_HEAD_010
Head	Battle Trucker Hat +	PT_DIY_HEAD_110
Head	Battle Trucker Hat +	PT_DIY_HEAD_110_G
Head	Berserker Helmet	PT_FAN_HEAD_020
Head	Berserker Helmet S	PT_FAN_HEAD_120
Head	Berserker Helmet S	PT_FAN_HEAD_120_G
Head	Bishop's Cowl	PT_FAN_HEAD_018
Head	Bishop's Cowl S	PT_FAN_HEAD_118
Head	Bishop's Cowl S	PT_FAN_HEAD_118_G
Head	Black Belt Terror Head	PT_SPO_HEAD_020
Head	Black Belt Terror Head A	PT_SPO_HEAD_120
Head	Black Belt Terror Head A	PT_SPO_HEAD_120_G
Head	Black Thunder Helmet	PT_FAN_HEAD_021
Head	Black Thunder Helmet	PT_FAN_HEAD_021_G
Head	Blitz Bowler Head A	PT_SPO_HEAD_113
Head	Blood Diver Head	PT_SPO_HEAD_018
Head	Blood Diver Head A	PT_SPO_HEAD_118
Head	Blood Diver Head A	PT_SPO_HEAD_118_G
Head	Bushido Mask	PT_SPO_HEAD_008
Head	Bushido Mask A	PT_SPO_HEAD_108
Head	Bushido Mask A	PT_SPO_HEAD_108_G
Head	Captain's Beret	PT_MIL_HEAD_010
Head	Captain's Beret E	PT_MIL_HEAD_110
Head	Captain's Beret E	PT_MIL_HEAD_110_G
Head	Chemical Agent Mask +	PT_DIY_HEAD_107
Head	Chemical Chaos Mask	PT_DIY_HEAD_008
Head	Chemical Chaos Mask +	PT_DIY_HEAD_108
Head	Chemical Chaos Mask +	PT_DIY_HEAD_108_G
Head	Clay Figurine Helmet RE	PT_REC_HEAD_001
Head	Clay Figurine Helmet S	PT_FAN_HEAD_107
Head	Clay Figurine Helmet S RE	PT_REC_HEAD_101
Head	Combat Diver Head	PT_MIL_HEAD_017
Head	Combat Diver Head E	PT_MIL_HEAD_117
Head	Cycle Madness Head A	PT_SPO_HEAD_115
Head	Dark Rogue Helmet	PT_FAN_HEAD_010
Head	Dark Rogue Helmet S	PT_FAN_HEAD_110
Head	Dark Rogue Helmet S	PT_FAN_HEAD_110_G
Head	Desert Scarf N	PT_GAS_HEAD_0N8
Head	DIY Assault Head +	PT_DIY_HEAD_102
Head	DIY Assault Head +	PT_DIY_HEAD_102_G
Head	Driller Killer Mask	PT_DIY_HEAD_004
Head	Driller Killer Mask +	PT_DIY_HEAD_104
Head	Driller Killer Mask +	PT_DIY_HEAD_104_G
Head	Evil Wizard Cowl S	PT_FAN_HEAD_113
Head	Execution Rider Head	PT_SPO_HEAD_004
Head	Execution Rider Head A	PT_SPO_HEAD_104
Head	Execution Rider Head A	PT_SPO_HEAD_104_G
Head	Exo-armor Head	PT_MIL_HEAD_031
Head	Exo-armor Head E	PT_MIL_HEAD_131
Head	Exo-combat Head	PT_MIL_HEAD_032
Head	Exo-combat Head E	PT_MIL_HEAD_132
Head	Exo-combat Head E	PT_MIL_HEAD_132_G
Head	Fencer's Mask N	PT_GAS_HEAD_0N7
Head	Fencing Helmet	PT_FAN_HEAD_005
Head	Fencing Helmet S	PT_FAN_HEAD_105
Head	Ghost Sniper Head	PT_MIL_HEAD_014
Head	Ghost Sniper Head E	PT_MIL_HEAD_114
Head	Ghost Sniper Head E	PT_MIL_HEAD_114_G
Head	Hades Knight Helmet	PT_FAN_HEAD_002
Head	Hades Knight Helmet S	PT_FAN_HEAD_102
Head	Hades Knight Helmet S	PT_FAN_HEAD_102_G
Head	Happy Wheeler Head +	PT_DIY_HEAD_105
Head	Happy Yuppie Glasses	PT_SPE_HEAD_024
Head	Hard Puncher Head A	PT_SPO_HEAD_111
Head	Hard Target Head	PT_SPO_HEAD_031
Head	Hard Target Head A	PT_SPO_HEAD_131
Head	Hell Napalm Head	PT_MIL_HEAD_022
Head	Hell Slugger Head	PT_SPO_HEAD_010
Head	Hell Slugger Head A	PT_SPO_HEAD_110
Head	Hell Slugger Head A	PT_SPO_HEAD_110_G
Head	Hell Steel Head	PT_DIY_HEAD_022
Head	Hell Thunder Helmet	PT_FAN_HEAD_022
Head	Iron Eagle Head E	PT_MIL_HEAD_111
Head	Iron Eagle Head E RE	PT_REC_HEAD_103
Head	Iron Eagle Head RE	PT_REC_HEAD_003
Head	Iron Falcon Head	PT_MIL_HEAD_012
Head	Iron Falcon Head E	PT_MIL_HEAD_112
Head	Iron Falcon Head E	PT_MIL_HEAD_112_G
Head	Iron Falcon Head E RE	PT_REC_HEAD_104
Head	Iron Falcon Head E RE	PT_REC_HEAD_104_G
Head	Iron Falcon Head RE	PT_REC_HEAD_004
Head	Iron Mask N	PT_GAS_HEAD_0N5
Head	Jackal X Head	PT_JAC_HEAD_001
Head	Jackal X Head D	PT_JAC_HEAD_201
Head	Jackal X Head D	PT_JAC_HEAD_201_G
Head	Jackal X Head R	PT_JAC_HEAD_101
Head	Jackal X Head R	PT_JAC_HEAD_101_G
Head	Jackal Y Head	PT_JAC_HEAD_002
Head	Jackal Y Head D	PT_JAC_HEAD_202
Head	Jackal Y Head D	PT_JAC_HEAD_202_G
Head	Jackal Y Head R	PT_JAC_HEAD_102
Head	Jackal Y Head R	PT_JAC_HEAD_102_G
Head	Jackal Z Head	PT_JAC_HEAD_003
Head	Jackal Z Head D	PT_JAC_HEAD_203
Head	Jackal Z Head D	PT_JAC_HEAD_203_G
Head	Jackal Z Head R	PT_JAC_HEAD_103
Head	Jackal Z Head R	PT_JAC_HEAD_103_G
Head	Kat Head 1	PT_SPE_HEAD_003
Head	Kat Head 2	PT_SPE_HEAD_103
Head	Kat Head 3	PT_SPE_HEAD_004
Head	Kat Head 4	PT_SPE_HEAD_104
Head	Kendo Mask	PT_SPO_HEAD_007
Head	Kendo Mask A	PT_SPO_HEAD_107
Head	Killer Wrestler Head A	PT_SPO_HEAD_105
Head	King Smasher Head	PT_SPO_HEAD_012
Head	King Smasher Head A	PT_SPO_HEAD_112
Head	King Smasher Head A	PT_SPO_HEAD_112_G
Head	Knight's Helm A ZX	PT_FAN_HEAD_1A1
Head	Knight's Helm A ZX	PT_FAN_HEAD_1A1_G
Head	Knight's Helm S	PT_FAN_HEAD_101
Head	Knight's Helm ZX	PT_FAN_HEAD_0A1
Head	Last Paladin’s Helmet	PT_FAN_HEAD_016
Head	Last Paladin’s Helmet S	PT_FAN_HEAD_116
Head	Last Paladin’s Helmet S	PT_FAN_HEAD_116_G
Head	Lucha Master Head	PT_SPO_HEAD_006
Head	Lucha Master Head A	PT_SPO_HEAD_106
Head	Lucha Master Head A	PT_SPO_HEAD_106_G
Head	M42 Gas Mask N	PT_GAS_HEAD_0N2
Head	Manic Wizard Cowl	PT_FAN_HEAD_014
Head	Manic Wizard Cowl S	PT_FAN_HEAD_114
Head	Manic Wizard Cowl S	PT_FAN_HEAD_114_G
Head	Meijin Head 1	PT_SPE_HEAD_021
Head	Meijin Head 2	PT_SPE_HEAD_121
Head	Meijin Head 3	PT_SPE_HEAD_022
Head	Momoko Yamada Head 1	PT_SPE_HEAD_027
Head	Momoko Yamada Head 2	PT_SPE_HEAD_127
Head	Momoko Yamada Head 3	PT_SPE_HEAD_028
Head	Morbid Target Head	PT_SPO_HEAD_032
Head	Morbid Target Head A	PT_SPO_HEAD_132
Head	Morbid Target Head A	PT_SPO_HEAD_132_G
Head	Motocross Head A	PT_SPO_HEAD_103
Head	Murderer Hockey Mask	PT_SPO_HEAD_002
Head	Murderer Hockey Mask A	PT_SPO_HEAD_102
Head	Murderer Hockey Mask A	PT_SPO_HEAD_102_G
Head	Night Raider Head WoT01	PT_MIL_HEAD_1007
Head	Night Raider Head WoT02	PT_MIL_HEAD_1107
Head	Night Raider Head WoT03	PT_MIL_HEAD_1008
Head	Night Raider Head WoT04	PT_MIL_HEAD_1108
Head	Officer Ryback Mask	PT_MIL_HEAD_004
Head	Officer Ryback Mask E	PT_MIL_HEAD_104
Head	Officer Ryback Mask E	PT_MIL_HEAD_104_G
Head	Paladin Helmet S	PT_FAN_HEAD_115
Head	Pale Wind Head	PT_SPO_HEAD_021
Head	Pale Wind Head	PT_SPO_HEAD_021_G
Head	Phantom Commando Head	PT_MIL_HEAD_006
Head	Phantom Commando Head E	PT_MIL_HEAD_106
Head	Phantom Commando Head E	PT_MIL_HEAD_106_G
Head	Phantom Soldier Head E	PT_MIL_HEAD_105
Head	Phantom Soldier Head WoT01	PT_MIL_HEAD_1005
Head	Phantom Soldier Head WoT02	PT_MIL_HEAD_1105
Head	Phantom Soldier Head WoT03	PT_MIL_HEAD_1006
Head	Phantom Soldier Head WoT04	PT_MIL_HEAD_1106
Head	Pilot’s Mask N	PT_GAS_HEAD_0N4
Head	Power Stomper Head +	PT_DIY_HEAD_115
Head	Priest's Cowl S	PT_FAN_HEAD_117
Head	PT_DIY_HEAD_022_G	PT_DIY_HEAD_022_G
Head	PT_FAN_HEAD_022_G	PT_FAN_HEAD_022_G
Head	PT_MIL_HEAD_022_G	PT_MIL_HEAD_022_G
Head	PT_MIL_HEAD_0G2_G	PT_MIL_HEAD_0G2_G
Head	PT_MIL_HEAD_1106_G	PT_MIL_HEAD_1106_G
Head	PT_MIL_HEAD_1108_G	PT_MIL_HEAD_1108_G
Head	PT_SPE_HEAD_022_G	PT_SPE_HEAD_022_G
Head	PT_SPE_HEAD_026_G	PT_SPE_HEAD_026_G
Head	PT_SPE_HEAD_028_G	PT_SPE_HEAD_028_G
Head	PT_SPE_HEAD_029	PT_SPE_HEAD_029
Head	PT_SPE_HEAD_030	PT_SPE_HEAD_030
Head	PT_SPE_HEAD_030_G	PT_SPE_HEAD_030_G
Head	PT_SPE_HEAD_104_G	PT_SPE_HEAD_104_G
Head	PT_SPE_HEAD_112_G	PT_SPE_HEAD_112_G
Head	PT_SPE_HEAD_129	PT_SPE_HEAD_129
Head	PT_SPO_HEAD_022	PT_SPO_HEAD_022
Head	PT_SPO_HEAD_022_G	PT_SPO_HEAD_022_G
Head	Raging Bull Head	PT_SPO_HEAD_014
Head	Raging Bull Head A	PT_SPO_HEAD_114
Head	Raging Bull Head A	PT_SPO_HEAD_114_G
Head	Raven Blaster Head	PT_MIL_HEAD_020
Head	Raven Blaster Head E	PT_MIL_HEAD_120
Head	Raven Blaster Head E	PT_MIL_HEAD_120_G
Head	Red Napalm Head	PT_MIL_HEAD_021
Head	Red Napalm Head	PT_MIL_HEAD_021_G
Head	Road Killer Head	PT_DIY_HEAD_020
Head	Road Killer Head +	PT_DIY_HEAD_120
Head	Road Killer Head +	PT_DIY_HEAD_120_G
Head	Sengoku Helmet S	PT_FAN_HEAD_111
Head	Shogun Helmet	PT_FAN_HEAD_012
Head	Shogun Helmet S	PT_FAN_HEAD_112
Head	Shogun Helmet S	PT_FAN_HEAD_112_G
Head	Silent Sniper Head E	PT_MIL_HEAD_113
Head	Skull Punisher Head	PT_MIL_HEAD_016
Head	Skull Punisher Head E	PT_MIL_HEAD_116
Head	Skull Punisher Head E	PT_MIL_HEAD_116_G
Head	Space Funglasses	PT_SPE_HEAD_013
Head	Splatter 13 Head A	PT_SPO_HEAD_119
Head	Steel God Mask	PT_DIY_HEAD_012
Head	Steel God Mask +	PT_DIY_HEAD_112
Head	Steel God Mask +	PT_DIY_HEAD_112_G
Head	Steel Madman Mask	PT_DIY_HEAD_014
Head	Steel Madman Mask +	PT_DIY_HEAD_114
Head	Steel Madman Mask +	PT_DIY_HEAD_114_G
Head	Steel Tribe Mask +	PT_DIY_HEAD_113
Head	Storm Diver Head	PT_MIL_HEAD_018
Head	Storm Diver Head E	PT_MIL_HEAD_118
Head	Storm Diver Head E	PT_MIL_HEAD_118_G
Head	Suicidal Grinder Head	PT_DIY_HEAD_032
Head	Suicidal Grinder Head +	PT_DIY_HEAD_132
Head	Suicidal Grinder Head +	PT_DIY_HEAD_132_G
Head	Surgical Mask N	PT_GAS_HEAD_0N3
Head	Swimming Master Head A	PT_SPO_HEAD_117
Head	Swordmaster Helmet	PT_FAN_HEAD_006
